epochs,train_losses,test_losses
0,1.9359820461273194,1.7930476819315264
1,1.8395354862213136,1.6346195090201594
2,1.456765609741211,1.3409843021823513
3,1.2186504821777344,1.19303297996521
4,1.0672110414505005,1.085515639474315
5,0.9670811100006104,1.0142294918337176
6,0.9090622730255127,0.970190538514045
7,0.8797635560035706,0.9329195810902503
8,0.8431124243736267,0.9013853534575431
9,0.8307718582153321,0.8976944838800738
10,0.8049519343376159,0.8798800014680431
11,0.7907131519317627,0.8643628762614343
12,0.7796896510124206,0.8450742152429396
13,0.7645598785877228,0.8405364867179624
14,0.7580460796356201,0.8285128147371353
15,0.7497457995414734,0.8280559643622367
16,0.7479154138565064,0.8177837864045174
17,0.7369196758270263,0.8163710428822425
18,0.7332427377700805,0.8082892106425378
19,0.7280010032653809,0.8076870114572586
20,0.7232445511817932,0.80363509731908
21,0.7194085378646851,0.7943756964898878
22,0.7223853054046631,0.8033506062722975
23,0.7129854764938355,0.7892478550634077
24,0.70993221950531,0.7889751753499431
25,0.7056913859844208,0.7853882235865439
26,0.7045415792465209,0.7772540392414216
27,0.7010597124099731,0.7781260724990599
28,0.6974255001544952,0.7791015390426882
29,0.6977096710205078,0.7775497148113866
