epochs,train_losses,test_losses
0,1.9240398163795471,1.39756416889929
1,1.3860853304862977,1.2751897650380288
2,1.2402938694953918,1.2366936764409464
3,1.1388108191490174,1.0973442254527923
4,0.98938813829422,0.965761749975143
5,0.9185234241485596,0.8971618471607086
6,0.8597452702522278,0.8448309436921151
7,0.8259891948699951,0.8102983486267828
8,0.7963987064361572,0.7907438585835118
9,0.7768406257629394,0.7699687846245304
10,0.7664757528305054,0.7708222135420768
11,0.7561335110664368,0.774023171394102
12,0.7484211287498475,0.7509319589984033
13,0.7396871862411499,0.753341132594693
14,0.7334873461723328,0.74610839351531
15,0.7360989408493042,0.7445730413160017
16,0.7305315699577332,0.7401634550863697
17,0.7247286767959594,0.7430181599432423
18,0.7276804285049439,0.7419344629010847
19,0.7194672803878784,0.7412835436482583
20,0.7196214714050293,0.7391786632999298
21,0.7193316879272461,0.7404174593187147
22,0.7119267735481262,0.7459295988082886
23,0.7134809031486511,0.7378505218413568
24,0.7116090235710144,0.7372545619164744
25,0.7085270295143128,0.7337988941900192
26,0.7097621741294861,0.7411963901212139
27,0.7038853950500489,0.7350520510827342
28,0.7053377108573914,0.7398683621037391
29,0.7053975558280945,0.739404353403276
