epochs,train_losses,test_losses
0,0.23459501536988778,0.15935398107206736
1,0.15053579758604851,0.14486472344507081
2,0.14248992235973848,0.1398207440187036
3,0.14022545214080026,0.13788063775944337
4,0.1392912003074562,0.13915579594918948
5,0.13895751098457226,0.1377723918780539
6,0.13874541625455664,0.13672817837042164
7,0.13863201298841388,0.13715207943948507
8,0.1386089417419822,0.14001791122949347
9,0.1385788590489257,0.13953950657965536
10,0.1386313021846015,0.13680501761631136
11,0.13859063682207126,0.13667673776356445
12,0.13855773677171604,0.1388859588364424
13,0.13850271413704235,0.13956275366358192
14,0.13862285749631936,0.1376325542261132
15,0.1385913204376884,0.1363305740431678
16,0.13849574143113363,0.13991527137920387
17,0.1385733806662236,0.13743448453284582
18,0.13861826456003273,0.1364355721621833
19,0.13853006771466722,0.14022131235367227
20,0.13850663201278918,0.13703859754260594
21,0.13855381972078135,0.13797810587913245
22,0.13860197687148562,0.13771224842348034
23,0.1385320610952645,0.13697267185579126
24,0.13845729502683077,0.13884759444692496
25,0.13848700069105585,0.1368828949093741
26,0.13850401936585882,0.14149720896285078
27,0.1385064815751795,0.13671641987818126
28,0.13854730430986215,0.13879458582732843
29,0.13846276935213597,0.13687665372718522
