epochs,train_losses,test_losses
0,1.3447291811682143,0.6993785715754651
1,0.4564780624463388,0.2874789472012529
2,0.23972152582283096,0.20845181011657243
3,0.19743438076928366,0.18650410972928255
4,0.18223140571598465,0.1760801305350888
5,0.1742799918148509,0.17014748373334876
6,0.16950203904066485,0.166466781810149
7,0.16636923049917723,0.16401490527426335
8,0.16418209690273428,0.1620776919998282
9,0.1625476997580789,0.16073837366849475
10,0.1612940640149368,0.15957480616911168
11,0.16029718717791638,0.15879367123719695
12,0.159501727390489,0.15799725093020195
13,0.15884494808397667,0.15744149734835075
14,0.158287912775643,0.15692073739846962
