epochs,train_losses,test_losses
0,1.535945026397705,1.2562776034878147
1,1.0894067282676696,1.1019697862286721
2,0.9581873726844787,0.9850336332474986
3,0.8743336062431335,0.9140515346680919
4,0.8288871011734009,0.8857075687377683
5,0.7961986346244811,0.8533901187681383
6,0.7738019013404847,0.8301113767008628
7,0.754544174194336,0.8208402279884585
8,0.7423732089996338,0.8094017697918799
9,0.7329944343566894,0.7988517169029482
10,0.7203567733764649,0.7930395622407237
11,0.7096279201507568,0.7873335711417659
12,0.7063728122711181,0.7765285930325908
13,0.699923882484436,0.7758081824548783
14,0.6928933129310608,0.7751169666167228
15,0.6880328207015991,0.7740323370502841
16,0.6809705848693848,0.7718534584968321
17,0.6790500855445862,0.7673298543499362
18,0.6742715744972229,0.7747262716293335
19,0.6736023678779602,0.7649432632230944
20,0.6678456830978393,0.7686178741916534
21,0.664753562450409,0.7625004226161588
22,0.6601117029190063,0.7722437823972395
23,0.6610902109146118,0.7662476051238275
24,0.6555222792625427,0.769193576228234
25,0.655130362033844,0.7689192583484035
26,0.6512334918975831,0.763514099582549
27,0.6486491389274597,0.7601247622120765
28,0.646490862607956,0.7576100480171942
29,0.6463776431083679,0.7620067884845119
