epochs,train_losses,test_losses
0,0.3195409184987078,0.3628673908108616
1,0.2355877547200694,0.33271110267242054
2,0.22587815783408918,0.32341782474331676
3,0.2219565569986053,0.320480821500293
4,0.21869956898074608,0.3188650675927499
5,0.2169565055579936,0.3278878708706324
6,0.2151693719219254,0.31571965382016937
7,0.2146052600077863,0.317653619543096
8,0.21337254008759363,0.3160293671358849
9,0.2126053483525343,0.3143807429342822
10,0.21191242050498277,0.31663422020868426
11,0.21116027399102588,0.31224386557868805
12,0.21146433844086251,0.31368382509722675
13,0.21064251009071888,0.31073427852788527
14,0.20957148431636097,0.31936850527237204
15,0.2093372834130162,0.3146645604555841
16,0.20898842530188114,0.31050356273419993
17,0.20839422485302156,0.3104894602733071
18,0.20796717134490367,0.3104390725251057
19,0.20740151770349904,0.3092093853087261
20,0.20722973411908846,0.3132402336706026
21,0.2068304456188722,0.3173518016420562
22,0.20669389040092406,0.31046068718779296
23,0.20659594332330322,0.3073289953875092
